"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",0.158025209640467,-0.059025685066782,3.06544429424122,-0.0192551811095274,0.984637537585991,NA
"Q0050",0.444811440979545,0.122553106149052,1.93896232932668,0.0632055116777898,0.949602855873344,0.971734789140127
"Q0055",0.0750524239813951,0.671886627681009,3.5338115409304,0.190130860092248,0.849206588274418,NA
"Q0060",0,NA,NA,NA,NA,NA
"Q0065",0,NA,NA,NA,NA,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0,NA,NA,NA,NA,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.0756580786663816,0.671886627681008,3.5338115409304,0.190130860092248,0.849206588274418,NA
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.0750524239813951,0.671886627681008,3.5338115409304,0.190130860092248,0.849206588274418,NA
"Q0110",0,NA,NA,NA,NA,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.0756580786663816,0.671886627681008,3.5338115409304,0.190130860092248,0.849206588274418,NA
"Q0130",0.151102703769595,-0.0462445820755658,3.11305320682393,-0.0148550567572041,0.988147815474129,NA
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",0,NA,NA,NA,NA,NA
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",0.158393112336884,-0.0546176717548923,3.06243657023138,-0.0178347111857947,0.985770713637079,NA
"Q0255",0,NA,NA,NA,NA,NA
"Q0275",0.0756580786663816,0.671886627681008,3.5338115409304,0.190130860092248,0.849206588274418,NA
"Q0297",0,NA,NA,NA,NA,NA
"YAL001C",70.9753982074151,-0.454598786072522,0.183293608001307,-2.48016715383376,0.0131320804935271,0.0383823452982332
"YAL002W",62.9734843692843,-0.158147407751738,0.180252624029875,-0.877365356553846,0.380288223696284,0.532959909157151
"YAL003W",1052.80345129093,1.2722092547686,0.0442570846444524,28.7458892737542,1.01952221236535e-181,7.67311836496874e-180
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",1809.21524236656,1.81464610370859,0.0356368000151505,50.9205681468909,0,0
"YAL007C",124.27831006667,-0.139342297566102,0.132046791267184,-1.05524940234373,0.291311275308698,0.443348551396627
"YAL008W",60.3123467786289,-0.103341561627521,0.184341009741995,-0.560599954248697,0.575070282719467,0.710323863366274
"YAL009W",41.6196281464047,-0.610594866617553,0.241000909862252,-2.53357909298578,0.0112904257384304,0.0339088225740413
"YAL010C",43.1737031737479,-0.373014400799122,0.216704262627004,-1.72130624602047,0.0851952666761565,0.176475909543467
"YAL011W",50.9250406595465,-0.655328254912412,0.202853947844797,-3.23054227869305,0.00123555629511732,0.00494066217440337
"YAL012W",795.059766255985,0.604827389562107,0.0514001752120357,11.7670297244528,5.77212130432508e-32,1.0607950838937e-30
